subject_id,x,y
S550,-7.004758796811018,1.4426259860927313
S551,1.9380187903351072,4.595041544110098
S552,2.162788719866973,5.161754220753186
S553,-4.3070678405882,1.9838286171759543
S554,3.1079409356823997,-6.4728839090060015
S555,1.3800850462030496,5.358504735145471
S556,-3.6447191870732376,-0.3283633072993325
S557,-4.257918395258899,3.5663685284846482
S558,-4.017661925044688,2.8149810205852215
S559,-5.963826619140734,0.5376447529099324
S560,-5.145956073516667,3.612295591251987
S561,6.627331799189937,3.5998298757886182
S562,-1.0056783386833856,0.592654420854023
S563,12.276804312183227,-2.7926219516050668
S564,1.1982507336089667,-1.5983852663590903
S565,12.542772231844909,4.019398342687412
S566,-4.664619659977001,2.425284932401204
S567,-4.281961698226407,-2.906721353594358
S568,-8.891079631265278,0.3028318662612652
S569,-6.180747266665019,-0.5573138931659442
S570,-2.026018372242975,0.8867891249306151
S571,6.793193895700891,2.1865709049921325
S572,-6.954567133723735,-1.7723643572484769
S573,-1.1399679562686325,-1.5253498295177161
S574,-5.929293809463138,0.3957397982332682
S575,-6.249930915505629,0.5312776730468282
S576,-5.0742420454435715,-0.6555709501421507
S577,23.174431619927706,-2.2645894294593245
S578,-7.695755654828695,-0.25956009079110176
S579,-4.558806992266474,0.2653626262702228
S580,7.709440564186893,1.6479191040152945
S581,0.15361740296614967,-3.5516462241664066
S582,-2.1621841019754426,-1.1886617180541625
S583,3.9113245289130663,-5.774785531312555
S584,-6.331780408726139,0.7619320912141522
S585,-2.613968716616397,-1.3229536690485963
S586,-2.1556706224957045,0.1646190416358739
S587,-0.27853475075161277,-3.2368317611741784
S588,-2.3259959278867486,-1.9561309030433827
S589,9.716055109972105,-3.9951077678289955
S590,16.7374903345171,10.380622682282956
S591,-2.6417035015850954,0.3887171099546995
S592,0.05433751977624937,-1.7233040966143411
S593,-3.5871678016650956,0.4313575663145736
S594,-7.846021611923896,-0.7493907972744236
S595,0.09689483313609794,4.421650241943584
S596,7.009194617035711,-8.53935601573959
S597,-4.28318148989463,5.117060299916105
S598,-2.9123829561080536,-2.0476767009836965
S599,16.23502114334266,-5.058028452132924
S600,-8.962763642198265,0.7466864490746293
S601,-2.797081206362451,-1.7474535028317728
S602,-6.204601800636755,1.408474607347565
S603,1.2854550015370108,0.03673546896523538
S604,-1.9619543073147732,-1.351698037546772
S605,7.260860274576765,1.5447894110959013
S606,-7.208656061282117,1.3217336362085617
S607,3.0596786841517654,-3.5121651922500763
S608,-4.763658723378192,2.8398883013825134
S609,-0.4416441971936424,1.1911158447968975
S610,1.8669954777881466,3.6191843569695945
S611,8.677661122100725,8.600736032697395
S612,-2.199179080973732,7.053160861021409
S613,2.7987239117008067,2.9944357600626677
S614,-5.023812164249578,-1.4333809009868457
S615,4.80731568482688,-7.968161808607488
S616,-0.05494064740179283,0.2976903176517054
S617,-5.092476142471574,0.23727572431067076
S618,-3.152802085613158,2.2147997420565635
S619,-2.26282416591043,-1.119247893208538
S620,-4.333105081130477,-1.6749586485796903
